trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2022-01-04,600600.SH,20220104,99.0,100.06,96.32,99.66,99.0,0.66,0.6667,52000.69,510503.557
2022-01-05,600600.SH,20220105,99.04,103.0,98.51,101.0,99.66,1.34,1.3446,54844.53,555944.11
2022-01-06,600600.SH,20220106,100.58,101.59,96.5,97.87,101.0,-3.13,-3.099,53852.87,530817.949
2022-01-07,600600.SH,20220107,97.29,98.66,96.5,96.7,97.87,-1.17,-1.1955,30609.71,298125.383
2022-01-10,600600.SH,20220110,95.66,95.88,91.37,95.14,96.7,-1.56,-1.6132,116609.21,1092109.406
2022-01-11,600600.SH,20220111,94.81,94.81,89.5,89.92,95.14,-5.22,-5.4867,104720.01,949621.802
2022-01-12,600600.SH,20220112,89.92,91.27,88.08,90.74,89.92,0.82,0.9119,83571.31,751774.463
2022-01-13,600600.SH,20220113,90.11,91.38,88.77,89.23,90.74,-1.51,-1.6641,43696.4,392523.462
2022-01-14,600600.SH,20220114,88.2,91.8,88.2,90.23,89.23,1.0,1.1207,76943.71,698592.855
2022-01-17,600600.SH,20220117,91.0,91.0,88.63,89.18,90.23,-1.05,-1.1637,46714.63,416637.463
2022-01-18,600600.SH,20220118,89.13,90.31,88.48,89.45,89.18,0.27,0.3028,48129.54,430608.25
2022-01-19,600600.SH,20220119,89.0,89.8,87.03,88.71,89.45,-0.74,-0.8273,42616.36,375902.965
2022-01-20,600600.SH,20220120,89.25,91.53,88.72,90.94,88.71,2.23,2.5138,60907.79,550560.117
2022-01-21,600600.SH,20220121,91.22,95.63,90.18,93.13,90.94,2.19,2.4082,80151.34,749633.048
2022-01-24,600600.SH,20220124,92.75,96.38,92.07,95.36,93.13,2.23,2.3945,68335.22,649341.551
2022-01-25,600600.SH,20220125,95.36,96.12,93.51,94.0,95.36,-1.36,-1.4262,37461.35,354641.476
2022-01-26,600600.SH,20220126,93.66,95.15,92.47,93.98,94.0,-0.02,-0.0213,33589.35,314958.204
2022-01-27,600600.SH,20220127,93.84,94.3,92.33,92.97,93.98,-1.01,-1.0747,23616.2,220479.89
2022-01-28,600600.SH,20220128,93.18,95.66,91.5,92.21,92.97,-0.76,-0.8175,32340.33,302819.242
2022-02-07,600600.SH,20220207,92.93,95.5,90.88,91.64,92.21,-0.57,-0.6182,44433.87,412104.852
2022-02-08,600600.SH,20220208,91.64,91.75,88.36,89.58,91.64,-2.06,-2.2479,47803.81,426836.901
2022-02-09,600600.SH,20220209,89.2,92.84,89.13,91.27,89.58,1.69,1.8866,60543.19,550669.444
2022-02-10,600600.SH,20220210,91.2,91.2,88.21,89.5,91.27,-1.77,-1.9393,71075.72,632487.196
2022-02-11,600600.SH,20220211,89.0,91.68,88.78,90.01,89.5,0.51,0.5698,42010.12,380305.819
2022-02-14,600600.SH,20220214,90.09,95.11,90.01,94.89,90.01,4.88,5.4216,86567.4,810424.708
2022-02-15,600600.SH,20220215,94.3,96.95,94.28,95.63,94.89,0.74,0.7799,48857.16,466523.64
2022-02-16,600600.SH,20220216,95.63,97.49,94.74,96.61,95.63,0.98,1.0248,39809.71,384141.368
2022-02-17,600600.SH,20220217,97.5,97.5,95.26,96.39,96.61,-0.22,-0.2277,31959.23,307917.647
2022-02-18,600600.SH,20220218,95.88,97.52,94.6,96.3,96.39,-0.09,-0.0934,29747.03,286156.229
2022-02-21,600600.SH,20220221,97.01,97.2,94.55,95.22,96.3,-1.08,-1.1215,23663.97,225577.086
2022-02-22,600600.SH,20220222,95.0,95.43,93.46,95.0,95.22,-0.22,-0.231,23238.01,219440.992
2022-02-23,600600.SH,20220223,94.65,95.5,92.7,94.6,95.0,-0.4,-0.4211,27011.78,254473.186
2022-02-24,600600.SH,20220224,94.09,94.89,92.06,93.2,94.6,-1.4,-1.4799,35182.47,327433.144
2022-02-25,600600.SH,20220225,93.12,93.88,92.54,93.59,93.2,0.39,0.4185,27969.25,261068.687
2022-02-28,600600.SH,20220228,92.71,93.97,92.57,93.79,93.59,0.2,0.2137,31834.72,297078.741
2022-03-01,600600.SH,20220301,96.96,103.17,96.6,101.58,93.79,7.79,8.3058,130207.52,1319036.626
2022-03-02,600600.SH,20220302,100.58,101.2,97.81,99.49,101.58,-2.09,-2.0575,74540.01,741057.014
2022-03-03,600600.SH,20220303,99.5,101.19,98.01,99.29,99.49,-0.2,-0.201,55817.65,555510.33
2022-03-04,600600.SH,20220304,98.13,99.89,97.35,98.02,99.29,-1.27,-1.2791,50404.63,496703.882
2022-03-07,600600.SH,20220307,96.75,96.75,90.91,91.3,98.02,-6.72,-6.8557,88313.87,814872.905
2022-03-08,600600.SH,20220308,91.3,93.5,89.59,90.51,91.3,-0.79,-0.8653,58534.97,536746.515
2022-03-09,600600.SH,20220309,90.57,91.2,84.8,88.84,90.51,-1.67,-1.8451,78616.68,692626.814
2022-03-10,600600.SH,20220310,90.5,94.88,89.26,94.3,88.84,5.46,6.1459,96164.79,895430.581
2022-03-11,600600.SH,20220311,92.8,94.25,90.45,92.96,94.3,-1.34,-1.421,50569.15,466041.48
2022-03-14,600600.SH,20220314,90.0,91.0,85.85,86.0,92.96,-6.96,-7.4871,93027.84,810321.324
2022-03-15,600600.SH,20220315,85.0,85.0,81.0,82.39,86.0,-3.61,-4.1977,70644.58,584810.448
2022-03-16,600600.SH,20220316,84.3,87.0,82.7,86.42,82.39,4.03,4.8914,66340.04,563874.036
2022-03-17,600600.SH,20220317,87.82,88.59,85.13,86.72,86.42,0.3,0.3471,65993.39,574619.625
2022-03-18,600600.SH,20220318,86.07,86.68,84.8,85.89,86.72,-0.83,-0.9571,64658.35,555004.814
2022-03-21,600600.SH,20220321,85.25,86.21,84.18,86.0,85.89,0.11,0.1281,51577.53,438567.357
2022-03-22,600600.SH,20220322,85.07,85.6,83.5,84.05,86.0,-1.95,-2.2674,59003.7,496780.408
2022-03-23,600600.SH,20220323,84.12,85.01,82.81,84.52,84.05,0.47,0.5592,53188.06,447196.799
2022-03-24,600600.SH,20220324,83.9,83.9,81.81,82.34,84.52,-2.18,-2.5793,65464.71,538142.171
2022-03-25,600600.SH,20220325,82.09,82.2,79.37,80.09,82.34,-2.25,-2.7326,75548.8,608680.641
2022-03-28,600600.SH,20220328,78.8,79.33,76.4,78.0,80.09,-2.09,-2.6096,79481.83,617061.466
2022-03-29,600600.SH,20220329,78.35,79.23,76.05,76.4,78.0,-1.6,-2.0513,77733.3,599063.605
2022-03-30,600600.SH,20220330,76.8,80.36,76.7,79.58,76.4,3.18,4.1623,115866.82,910133.876
2022-03-31,600600.SH,20220331,78.93,79.7,78.2,79.01,79.58,-0.57,-0.7163,51051.45,402574.739
2022-04-01,600600.SH,20220401,78.37,82.4,78.06,81.7,79.01,2.69,3.4046,100474.16,816398.881
2022-04-06,600600.SH,20220406,80.9,80.9,79.13,79.73,81.7,-1.97,-2.4113,84094.32,670730.144
2022-04-07,600600.SH,20220407,80.01,80.95,78.3,78.71,79.73,-1.02,-1.2793,57559.33,456474.571
2022-04-08,600600.SH,20220408,78.26,79.1,77.26,77.8,78.71,-0.91,-1.1561,46631.27,363188.363
2022-04-11,600600.SH,20220411,77.29,77.31,73.0,73.66,77.8,-4.14,-5.3213,99496.59,737151.696
2022-04-12,600600.SH,20220412,73.6,81.03,73.21,80.68,73.66,7.02,9.5303,132222.72,1024204.707
2022-04-13,600600.SH,20220413,79.3,83.68,77.75,81.78,80.68,1.1,1.3634,160520.89,1307382.616
2022-04-14,600600.SH,20220414,82.3,86.36,82.3,84.93,81.78,3.15,3.8518,123644.39,1051743.238
2022-04-15,600600.SH,20220415,83.49,86.3,83.01,84.07,84.93,-0.86,-1.0126,81901.96,692673.556
2022-04-18,600600.SH,20220418,83.3,84.72,82.0,84.44,84.07,0.37,0.4401,54414.38,455156.845
2022-04-19,600600.SH,20220419,84.54,85.95,83.81,84.55,84.44,0.11,0.1303,45744.58,385855.722
2022-04-20,600600.SH,20220420,84.0,88.0,82.5,85.78,84.55,1.23,1.4548,84412.02,722166.076
2022-04-21,600600.SH,20220421,85.06,85.9,82.98,83.98,85.78,-1.8,-2.0984,60105.66,506054.804
2022-04-22,600600.SH,20220422,83.28,84.95,82.1,84.68,83.98,0.7,0.8335,48336.58,406464.057
2022-04-25,600600.SH,20220425,82.8,84.26,79.99,81.4,84.68,-3.28,-3.8734,83353.93,683487.12
2022-04-26,600600.SH,20220426,81.61,84.4,81.52,82.57,81.4,1.17,1.4373,77154.83,639837.98
2022-04-27,600600.SH,20220427,82.0,84.1,80.75,83.69,82.57,1.12,1.3564,70865.34,586015.839
2022-04-28,600600.SH,20220428,82.5,85.15,82.21,82.9,83.69,-0.79,-0.944,62249.69,518840.719
2022-04-29,600600.SH,20220429,83.48,87.5,83.48,86.3,82.9,3.4,4.1013,135489.95,1165322.794
2022-05-05,600600.SH,20220505,87.0,87.86,85.28,86.24,86.3,-0.06,-0.0695,78024.48,674062.525
2022-05-06,600600.SH,20220506,84.6,84.6,80.5,81.0,86.24,-5.24,-6.0761,99311.12,811701.177
2022-05-09,600600.SH,20220509,78.68,80.85,76.6,79.7,81.0,-1.3,-1.6049,56117.4,444524.556
2022-05-10,600600.SH,20220510,78.0,82.85,77.5,82.43,79.7,2.73,3.4253,76301.77,616261.54
2022-05-11,600600.SH,20220511,82.44,86.92,82.43,84.9,82.43,2.47,2.9965,110313.28,944747.328
2022-05-12,600600.SH,20220512,84.1,87.11,84.1,85.6,84.9,0.7,0.8245,56874.91,488633.737
2022-05-13,600600.SH,20220513,85.59,86.5,84.6,85.11,85.6,-0.49,-0.5724,35551.91,302728.483
2022-05-16,600600.SH,20220516,86.3,88.5,84.5,85.76,85.11,0.65,0.7637,62331.11,538359.243
2022-05-17,600600.SH,20220517,85.97,86.5,85.03,85.99,85.76,0.23,0.2682,33434.9,287206.14
2022-05-18,600600.SH,20220518,85.99,86.18,84.5,84.85,85.99,-1.14,-1.3257,40400.19,343456.02
2022-05-19,600600.SH,20220519,83.4,85.36,83.0,83.9,84.85,-0.95,-1.1196,37018.14,310530.833
2022-05-20,600600.SH,20220520,84.46,86.89,83.96,85.97,83.9,2.07,2.4672,68282.09,587493.472
2022-05-23,600600.SH,20220523,86.22,86.24,84.39,85.37,85.97,-0.6,-0.6979,49795.45,424636.022
2022-05-24,600600.SH,20220524,85.4,85.72,83.81,84.04,85.37,-1.33,-1.5579,42077.46,355569.228
2022-05-25,600600.SH,20220525,83.86,84.74,83.6,84.03,84.04,-0.01,-0.0119,41151.54,345495.3
2022-05-26,600600.SH,20220526,84.6,87.1,83.38,86.02,84.03,1.99,2.3682,74856.18,640186.837
2022-05-27,600600.SH,20220527,86.38,87.1,84.7,85.18,86.02,-0.84,-0.9765,50970.54,438268.381
2022-05-30,600600.SH,20220530,88.6,93.7,88.6,90.9,85.18,5.72,6.7152,160272.56,1470394.922
2022-05-31,600600.SH,20220531,91.0,93.5,90.37,92.75,90.9,1.85,2.0352,109556.21,1014980.271
2022-06-01,600600.SH,20220601,91.9,93.3,90.86,91.62,92.75,-1.13,-1.2183,69221.6,634534.506
2022-06-02,600600.SH,20220602,90.12,91.3,89.49,89.95,91.62,-1.67,-1.8227,55602.07,501422.18
2022-06-06,600600.SH,20220606,90.55,93.65,88.77,93.0,89.95,3.05,3.3908,77518.11,713891.808
2022-06-07,600600.SH,20220607,92.9,94.5,91.23,93.06,93.0,0.06,0.0645,64436.2,599018.575
2022-06-08,600600.SH,20220608,92.5,95.8,92.06,94.46,93.06,1.4,1.5044,71883.17,676382.314
2022-06-09,600600.SH,20220609,94.0,94.5,91.46,92.0,94.46,-2.46,-2.6043,50502.74,467761.349
2022-06-10,600600.SH,20220610,91.5,92.1,90.03,92.1,92.0,0.1,0.1087,51769.28,472773.011
2022-06-13,600600.SH,20220613,91.0,91.5,88.31,90.55,92.1,-1.55,-1.683,85215.6,764475.584
2022-06-14,600600.SH,20220614,89.0,93.0,88.88,91.95,90.55,1.4,1.5461,64610.31,589919.536
2022-06-15,600600.SH,20220615,91.82,92.88,90.41,91.54,91.95,-0.41,-0.4459,80034.5,733729.459
2022-06-16,600600.SH,20220616,91.6,92.65,89.01,90.15,91.54,-1.39,-1.5185,73476.02,665215.139
2022-06-17,600600.SH,20220617,89.19,91.95,89.07,91.56,90.15,1.41,1.5641,65681.22,598605.775
2022-06-20,600600.SH,20220620,92.14,95.0,92.14,93.98,91.56,2.42,2.6431,84963.34,796222.719
2022-06-21,600600.SH,20220621,94.0,95.21,92.38,93.8,93.98,-0.18,-0.1915,57950.46,543839.979
2022-06-22,600600.SH,20220622,93.8,94.9,92.83,92.87,93.8,-0.93,-0.9915,43034.11,402484.433
2022-06-23,600600.SH,20220623,92.87,93.5,92.26,93.27,92.87,0.4,0.4307,46850.44,435749.86
2022-06-24,600600.SH,20220624,93.3,97.0,93.0,95.59,93.27,2.32,2.4874,74703.83,707381.385
2022-06-27,600600.SH,20220627,97.0,101.9,97.0,99.65,95.59,4.06,4.2473,102070.43,1016757.854
2022-06-28,600600.SH,20220628,98.8,101.06,97.0,100.0,99.65,0.35,0.3512,60452.06,597073.698
2022-06-29,600600.SH,20220629,99.88,103.98,99.7,102.29,100.0,2.29,2.29,89780.08,916879.976
2022-06-30,600600.SH,20220630,103.0,107.37,103.0,103.92,102.29,1.63,1.5935,89773.93,941861.003
2022-07-01,600600.SH,20220701,103.38,104.49,101.0,102.58,103.92,-1.34,-1.2895,44830.04,459807.025
2022-07-04,600600.SH,20220704,101.58,104.88,101.35,104.17,102.58,1.59,1.55,47831.59,496259.477
2022-07-05,600600.SH,20220705,104.17,104.49,99.0,101.52,104.17,-2.65,-2.5439,69828.9,704275.193
2022-07-06,600600.SH,20220706,100.68,101.2,97.0,98.18,101.52,-3.34,-3.29,72921.47,719158.922
2022-07-07,600600.SH,20220707,98.0,99.8,95.04,98.93,98.18,0.75,0.7639,60905.91,594177.488
2022-07-08,600600.SH,20220708,98.92,99.86,98.0,98.72,98.93,-0.21,-0.2123,31510.35,311439.015
2022-07-11,600600.SH,20220711,97.0,98.0,95.61,96.69,98.72,-2.03,-2.0563,43573.24,419821.154
2022-07-12,600600.SH,20220712,96.5,97.25,95.11,95.67,96.69,-1.02,-1.0549,27790.6,266723.465
2022-07-13,600600.SH,20220713,95.98,98.88,95.8,96.89,95.67,1.22,1.2752,57803.68,562653.069
2022-07-14,600600.SH,20220714,96.42,96.82,94.4,96.0,96.89,-0.89,-0.9186,51331.53,491721.313
2022-07-15,600600.SH,20220715,95.85,99.98,95.4,96.84,96.0,0.84,0.875,56292.72,552926.516
2022-07-18,600600.SH,20220718,96.84,97.5,92.66,96.32,96.84,-0.52,-0.537,66047.81,629404.594
2022-07-19,600600.SH,20220719,94.71,95.98,93.26,95.11,95.22,-0.11,-0.1155,44109.48,416518.505
2022-07-20,600600.SH,20220720,95.2,97.2,94.58,95.56,95.11,0.45,0.4731,42872.8,411138.817
2022-07-21,600600.SH,20220721,94.5,97.76,94.5,97.01,95.56,1.45,1.5174,60475.31,586249.376
2022-07-22,600600.SH,20220722,97.01,97.49,95.7,96.21,97.01,-0.8,-0.8247,35997.21,346988.215
2022-07-25,600600.SH,20220725,95.3,101.0,94.0,100.19,96.21,3.98,4.1368,82790.54,819050.501
2022-07-26,600600.SH,20220726,99.97,102.5,99.52,100.49,100.19,0.3,0.2994,46579.65,469445.972
2022-07-27,600600.SH,20220727,101.52,103.87,99.9,100.0,100.49,-0.49,-0.4876,42182.33,426971.484
2022-07-28,600600.SH,20220728,100.1,102.99,98.66,100.48,100.0,0.48,0.48,47829.36,483630.368
2022-07-29,600600.SH,20220729,100.09,100.48,98.02,98.51,100.48,-1.97,-1.9606,70879.47,701333.994
2022-08-01,600600.SH,20220801,100.0,108.36,99.25,108.06,98.51,9.55,9.6944,157062.85,1674145.982
2022-08-02,600600.SH,20220802,107.43,108.92,105.8,106.28,108.06,-1.78,-1.6472,72443.19,776067.702
2022-08-03,600600.SH,20220803,106.18,106.99,102.5,102.97,106.28,-3.31,-3.1144,54493.07,567777.01
2022-08-04,600600.SH,20220804,103.88,104.13,101.76,103.58,102.97,0.61,0.5924,43476.21,447457.091
2022-08-05,600600.SH,20220805,103.5,105.18,102.8,103.04,103.58,-0.54,-0.5213,44076.84,456740.285
2022-08-08,600600.SH,20220808,101.02,105.85,100.12,103.99,103.04,0.95,0.922,64926.45,674306.501
2022-08-09,600600.SH,20220809,104.02,110.0,103.12,109.5,103.99,5.51,5.2986,66661.68,712374.162
2022-08-10,600600.SH,20220810,109.3,109.3,103.53,105.04,109.5,-4.46,-4.0731,69395.72,732630.496
2022-08-11,600600.SH,20220811,105.1,106.96,102.77,106.48,105.04,1.44,1.3709,42801.06,449922.53
2022-08-12,600600.SH,20220812,105.99,106.88,103.67,104.5,106.48,-1.98,-1.8595,29932.42,312710.781
2022-08-15,600600.SH,20220815,103.66,105.13,103.0,103.66,104.5,-0.84,-0.8038,27754.99,287850.325
2022-08-16,600600.SH,20220816,103.67,104.0,101.88,102.96,103.66,-0.7,-0.6753,31983.02,328686.566
2022-08-17,600600.SH,20220817,102.5,106.0,100.2,104.72,102.96,1.76,1.7094,49825.03,517077.447
2022-08-18,600600.SH,20220818,104.44,106.6,103.72,104.97,104.72,0.25,0.2387,49004.5,516108.473
2022-08-19,600600.SH,20220819,104.96,106.6,103.1,103.52,104.97,-1.45,-1.3813,26381.84,275250.826
2022-08-22,600600.SH,20220822,103.36,104.47,101.8,102.97,103.52,-0.55,-0.5313,28483.0,293711.908
2022-08-23,600600.SH,20220823,102.19,102.79,99.99,100.57,102.97,-2.4,-2.3308,49819.21,502102.043
2022-08-24,600600.SH,20220824,100.13,100.49,98.5,98.97,100.57,-1.6,-1.5909,36177.46,359329.48
2022-08-25,600600.SH,20220825,99.0,102.0,98.98,100.52,98.97,1.55,1.5661,37514.88,376888.57
2022-08-26,600600.SH,20220826,104.0,110.2,104.0,108.0,100.52,7.48,7.4413,144819.65,1556687.503
2022-08-29,600600.SH,20220829,107.96,109.5,105.43,108.5,108.0,0.5,0.463,66879.55,719472.598
2022-08-30,600600.SH,20220830,108.39,110.32,107.0,108.48,108.5,-0.02,-0.0184,52310.97,566640.223
2022-08-31,600600.SH,20220831,107.69,109.65,107.33,108.0,108.48,-0.48,-0.4425,41334.16,448735.348
2022-09-01,600600.SH,20220901,107.35,107.99,105.6,105.97,108.0,-2.03,-1.8796,46414.32,494734.648
2022-09-02,600600.SH,20220902,105.7,106.5,101.05,102.0,105.97,-3.97,-3.7463,68604.8,705449.486
2022-09-05,600600.SH,20220905,101.8,101.8,97.0,99.0,102.0,-3.0,-2.9412,79682.59,785745.762
2022-09-06,600600.SH,20220906,99.09,100.33,96.89,98.67,99.0,-0.33,-0.3333,56322.75,552975.41
2022-09-07,600600.SH,20220907,98.51,98.6,96.82,97.29,98.67,-1.38,-1.3986,47799.5,465465.475
2022-09-08,600600.SH,20220908,97.99,98.87,97.0,97.2,97.29,-0.09,-0.0925,42167.61,411477.791
2022-09-09,600600.SH,20220909,97.22,97.53,96.0,96.67,97.2,-0.53,-0.5453,44806.26,433555.231
2022-09-13,600600.SH,20220913,97.27,101.15,96.85,100.05,96.67,3.38,3.4964,75735.59,753519.105
2022-09-14,600600.SH,20220914,98.52,101.0,98.3,100.25,100.05,0.2,0.1999,40835.46,407879.836
2022-09-15,600600.SH,20220915,99.79,104.55,99.79,102.29,100.25,2.04,2.0349,57712.72,592374.453
2022-09-16,600600.SH,20220916,101.58,104.0,100.25,101.12,102.29,-1.17,-1.1438,43687.57,444426.411
2022-09-19,600600.SH,20220919,101.57,102.5,98.5,101.9,101.12,0.78,0.7714,56378.06,571902.74
2022-09-20,600600.SH,20220920,102.39,103.2,100.13,102.4,101.9,0.5,0.4907,30663.3,312055.75
2022-09-21,600600.SH,20220921,102.06,103.92,101.16,101.88,102.4,-0.52,-0.5078,37872.98,387694.056
2022-09-22,600600.SH,20220922,101.44,101.44,98.63,99.94,101.88,-1.94,-1.9042,46289.98,461881.975
2022-09-23,600600.SH,20220923,100.37,103.78,100.08,102.3,99.94,2.36,2.3614,59391.75,605491.795
2022-09-26,600600.SH,20220926,101.0,105.5,101.0,103.85,102.3,1.55,1.5152,49122.61,511521.719
2022-09-27,600600.SH,20220927,104.14,107.04,102.22,106.95,103.85,3.1,2.9851,67674.3,711708.25
2022-09-28,600600.SH,20220928,106.22,107.8,105.4,106.08,106.95,-0.87,-0.8135,39408.63,419569.705
